Comment_Period,Method,EG_1,EG_DEC,Subcommittee,Component_Description,Episode_Theme_Description,Comment_No,Commenter_1_Organization,Comment_Excerpt,Comment_Excerpt_Summary,EG_TYPE
2016_12_macra_posting,,Allergic Reactions,Allergic Reactions,Pulmonary Disease Management,Defining an EG,"Splitting episode groups (e.g., sub-groups)",47,Society of Hospital Medicine,SHM encourages the development of sub-groups within episodes that provide more granular and homogenous comparison groups.,Sub-groups within the Allergic Reactions episode group should be developed to provide more granular and homogenous comparison groups.,Acute Inpatient Medical Condition
2016_12_macra_posting,,Allergic Reactions,Allergic Reactions,Pulmonary Disease Management,Risk adj.,Additional clinical input needed,47,Society of Hospital Medicine,"Although we acknowledge that risk adjustment may allay some of our concerns, we believe it will be difficult to risk adjust out all the differences between the DRGs within an episode to make fair comparisons.",It will be difficult to risk adjust for all of the differences between the DRGs within the Allergic Reactions episode group to make fair comparisons.,Acute Inpatient Medical Condition
2016_12_macra_posting,,Asthma/Chronic Obstructive Pulmonary Disease (COPD),Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management ,Attributing the EG,Additional clinical input needed,25,American Academy of Otolaryngology - Head and Neck Surgery,"We seek clarification from CMS on how it intends to score specialists such as Otolaryngologist Head and Neck Surgeons that either have a dearth of episodes, or entire lack of applicable episode groups. There are, however, several episode groups that Otolaryngologist -- Head and Neck Surgeons may indirectly treat by addressing specific components of the treatment, including Asthma/ Chronic Obstructive Pulmonary Disease (COPD), Atrial Fibrillation, Rheumatoid Arthritis, and Lower Extremity Deep Vein Thrombosis (DVT) requiring anticoagulation. As currently constructed, it is not clear to Otolaryngologist Head and Neck Surgeons that they may be scored on components of these and other episodes they may encounter.",It is unclear how head and neck surgeons may be scored on components of this episode group.,Chronic Condition
2016_12_macra_posting,,Asthma/Chronic Obstructive Pulmonary Disease (COPD),Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Defining an EG,Justification for/against creating the episode group,39,American Society for Blood and Marrow Transplantation,"Asthma/COPD: These two entities should be separated. Asthma is often a younger population than the COPD population. Asthma is often triggered and exacerbated by environmental allergens. COPD typically occurs in older patients and often secondary to smoking. Older patients with a history of smoking may have ischemic heart disease or vascular disease, both peripheral and cerebral, complicating care. Some of the medications for heart disease, such as beta blockers, will worsen COPD.",Asthma and COPD should be different episode groups because they involve different populations,Chronic Condition
2016_12_macra_posting,,Asthma/Chronic Obstructive Pulmonary Disease (COPD),Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Defining an EG,"Splitting episode groups (e.g., sub-groups)",54,"American College of Allergy, Asthma, and Immunology","The CMS proposal would seem to establish a single episode group for all phases of care provided for chronic conditions. However, patients with Chronic Disease Management, such as asthma, need very different kinds of services depending on the phase of care or disease stage. Our organization is developing an alternative payment model (APM) focused on a bundled approach to patient-centered asthma care that we intend to submit to the Physician-focused Payment Technical Advisory Committee (PTAC) by June 1, 2017.  (Our Letter of Intent was sent on March 10, 2017.)That APM would distinguish between two distinct phases of care: diagnosis and initial treatment and continued care with each being treated as a separate care episode for purposes of payment. We believe episode groups need to account for the different phases of care and urge CMS not to lump distinct phases of treatment into a single episode group. 
 
In the asthma care APM being developed by our organization, we have stratified severity of disease into four categories for the “Continued Care for Difficult-to-Control Asthma” phase of care based, among other things, on the presence of specific comorbidities. Although not finalized, the subcategories in our working draft are the following: 
 
  
Subcategory Billing Code Patient Characteristics 
Level 1 xxx21 Well controlled asthma, but with comorbidities and/or medications requiring special management 
Level 2 xxx22 Not well controlled asthma (symptoms > 2 days/week, etc.) 
Level 3 xxx23 Very poorly controlled asthma (daily symptoms, etc.)
or
Not well controlled asthma with significant comorbidities 
Level 4 xxx24 Very poorly controlled asthma with significant comorbidities","Since patients with Chronic Disease Managements such as asthma need very different kinds of services depending on the phase of care or disease stage, this episode group needs to account for the different phases of care and not to lump distinct phases of treatment into a single episode group.",Chronic Condition
2016_12_macra_posting,,Asthma/Chronic Obstructive Pulmonary Disease (COPD),Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Other,Other,60,"American Academy of Allergy, Asthma, & Immunology","Episode Group Definition, Chronic Condition Episode Groups & Cost Measure Development 
As noted above, we understand why several A/I conditions have been targeted for episode group development and agree with the identified “trigger codes” CMS has included in each of the respective episodes.",There is agreement with episode groups concerning AI conditions and the trigger codes included.,Chronic Condition
2016_12_macra_posting,,Asthma/Chronic Obstructive Pulmonary Disease (COPD),Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,60,"American Academy of Allergy, Asthma, & Immunology","We also suggested that CMS ensure that specialists, such as A/I professionals, would not be attributed patients with diagnoses that are outside the scope of their specialty, as was the case in the VM cost measures.","Specialists, such as allergy/immunology professionals, should not be attributed patients with diagnoses that are outside the scope of their specialty.",Chronic Condition
2016_12_macra_posting,,Asthma/Chronic Obstructive Pulmonary Disease (COPD),Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Other,Other,23,American Academy of Dermatology Association,"Grouping Services 
After reviewing the proposed episode groups, we have identified significant flaws in many of them. For example, the Asthma episode is grouped with Chronic Obstructive Pulmonary Disease, which conflates a disease that primarily diagnosed in children (potentially a lifelong disease) with a disease primarily diagnosed in older patients (potentially near end of life disease).
 
For this reason, we urge CMS to work closely with the medical specialty societies to refine each episode group.","There are significant flaws in the proposed episode groups.  For example, the Asthma episode is grouped with Chronic Obstructive Pulmonary Disease, which conflates a disease that is primarily diagnosed in children (potentially a lifelong disease) with a disease primarily diagnosed in older patients (potentially near end of life disease).",Chronic Condition
2016_12_macra_posting,,Asthma/Chronic Obstructive Pulmonary Disease (COPD),Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Defining an EG,Justification for/against creating the episode group,64,--,"Asthma/COPD: These two entities should be separated. Asthma is often a younger population than the COPD population. Asthma is often triggered and exacerbated by environmental allergens. COPD typically occurs in older patients and often secondary to smoking. Older patients with a history of smoking may have ischemic heart disease or vascular disease, both peripheral and cerebral, complicating care. Some of the medications for heart disease, such as beta blockers, will worsen COPD. Children with asthma both have exacerbations with environmental stimuli and psychological or family stress, but rarely have comorbidities as extensive as older adults with COPD.",Asthma and COPD should be separated. Asthma is often a younger population than the COPD population.,Chronic Condition
2015_10_cms_episode_groups,A,"Asthma/COPD, Chronic",Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management ,Defining an EG,Additional clinical input needed,11,"American College of Allergy, Asthma & Immunology",We also believe it is critical that members of the appropriate physician specialty be involved in development of episode groups and that this take place in a transparent process. This is especially important to ensuring that the episode groups do not have unintended negative impacts on patient access.,It is critical that members of the appropriate physician specialty be involved in the development of episode groups and that the process is transparent to stakeholders. Involving physicians is important to ensuring that episode groups do not have negative impacts on patient's access to care.,Chronic Condition
2015_10_cms_episode_groups,A,"Asthma/COPD, Chronic",Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management ,Assigning Costs to the EG,Increase length of episode window,14,American College of Physicians,"For example, an episode of diabetic ketoacidosis (DKA), congestive heart failure (CHF), chronic obstructive pulmonary disease (COPD), or knee replacement might best be described with a 30- or 90-day duration, while a malignancy or vasculitis might best be described by a longer 6- or 12-month duration.",The Asthma/COPD chronic episode group might best be described with a 30- or 90-day duration.,Chronic Condition
2015_10_cms_episode_groups,A,"Asthma/COPD, Chronic",Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Defining an EG,Additional clinical input needed,11,"American College of Allergy, Asthma & Immunology","It would depend on the condition. We suggest that for asthma, the length of the episode be guided by current clinical guidelines such as the NAEPP and GOLD but should be at least six months. As episode groups are considered for other conditions treated by allergists/immunologists we would ask that CMS consult with members of our specialty who actually provide the service.","The length of the Asthma/COPD episode group should be guided by current clinical guidelines such as the NAEPP and GOLD, and should be at least six months.",Chronic Condition
2015_10_cms_episode_groups,A,"Asthma/COPD, Chronic",Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management ,Defining an EG,Additional clinical input needed,11,"American College of Allergy, Asthma & Immunology","For chronic conditions such as asthma and COPD, this may not be possible in all cases because those conditions tend to be chronic in nature with episodic increased intensity and symptomatology, e.g. “flares.” At the same time, as noted above, it may be appropriate to create episodes based on treatment protocol.","While it may not be possible to split the Asthma/COPD episode group into finer categories, it may be appropriate to create episode groups based on treatment protocol.",Chronic Condition
2015_10_cms_episode_groups,A,"Asthma/COPD, Chronic",Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Defining an EG,Additional clinical input needed,11,"American College of Allergy, Asthma & Immunology","With respect to chronic asthma, CMS should consult with allergists/immunologists about creation of separate episode groups for asthma patients whose treatment protocol involves allergy immunotherapy since this would have an impact on costs.","Allergists and immunologists should be consulted about the creation of separate episode groups for asthma patients whose treatment protocol involves allergy immunotherapy, since this would have an impact on treatment costs.",Chronic Condition
2015_10_cms_episode_groups,A,"Asthma/COPD, Chronic",Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Defining an EG,Additional clinical input needed,11,"American College of Allergy, Asthma & Immunology",Episode care groups and patient condition groups should also be developed consistent with national guidelines such as the National Asthma Education and Prevention Program (NAEPP) and the Global Initiative for Chronic Obstructive Lung Disease (GOLD).,Episode care groups and patient condition groups should be developed consistent with national guidelines such as the National Asthma Education and Prevention Program (NAEPP) and the Global Initiative for Chronic Obstructive Lung Disease (GOLD).,Chronic Condition
2015_10_cms_episode_groups,A,"Asthma/COPD, Chronic",Asthma/Chronic Obstructive Pulmonary Disease (COPD),Chronic Disease Management,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,11,"American College of Allergy, Asthma & Immunology","At the same time, we caution that episode groups should not hold physicians responsible for costs they cannot control such as increases in drug costs by manufacturers.","The Asthma/COPD episode group should not hold physicians responsible for costs they cannot control, such as increases in drug costs by manufacturers.",Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Defining an EG,Additional clinical input needed,35,American Society of Echocardiography,"While the “bulk of spending” for patients with heart disease may be expended on those with chronic conditions, ASE believes that the adoption or application of Episode Groups for chronic cardiovascular conditions would be premature.
For example, the 43 Episode Groups identified in the Episode Group RFI includes Episode Groups for Chronic Atrial Fibrillation, Chronic Heart Failure, and Chronic Ischemic Heart Disease. None of these Episode Groups for chronic cardiovascular conditions are included on the 2014 Supplemental QRUR Reports and therefore they are all fundamentally untested. Both the “Trigger” and the “Closing Date” events for these Episode Groups appear to be extremely broadly defined.",Both the “Trigger” and the “Closing Date” events for the Chronic Atrial Fibrillation Episode Group appears to be extremely broadly defined.,Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Risk adj.,Considerations relevant for particular patient populations,37,"Johnson & Johnson, Worldwide Government Affairs & Policy",The patient population should be risk-adjusted to ensure that the comparisons made between outcomes and costs from one provider to another are appropriate.,The patient population should be risk-adjusted to ensure that the comparisons made between outcomes and costs from one provider to another are appropriate.,Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Assigning Costs to the EG,Additional clinical input needed,37,"Johnson & Johnson, Worldwide Government Affairs & Policy","There should be a process for addressing outliers and the evolving standard of care. For the latter, there needs to be a mechanism for updating the services that are included in the episode group to reflect the evolving standard of care, including the use of new technologies. This is especially important for AF ablation where the technologies are rapidly evolving.","There should be a process for addressing outliers and the evolving standard of care. For the latter, there needs to be a mechanism for updating the services that are included in the episode group to reflect the evolving standard of care, including the use of new technologies. This is especially important for AF ablation where the technologies are rapidly evolving.",Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Defining an EG,Additional clinical input needed,37,"Johnson & Johnson, Worldwide Government Affairs & Policy",The “trigger” event for the episode group should take into account that treatment may not necessarily occur in the same sequence for every patient diagnosed with AF.,The “trigger” event for the episode group should take into account that treatment may not necessarily occur in the same sequence for every patient diagnosed with AF.,Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Other,Other,37,"Johnson & Johnson, Worldwide Government Affairs & Policy","The episode should capture the full extent of the benefits of treatment options available to AF patients, which may manifest over several months or years, rather than hours or days as may be the case for acute conditions. Otherwise, this may discourage the adoption and use of treatments where clinical outcomes are not apparent within that timeframe or that result in a long-term cost savings.","The episode should capture the full extent of the benefits of treatment options available to AF patients, which may manifest over several months or years, rather than hours or days as may be the case for acute conditions. Otherwise, this may discourage the adoption and use of treatments where clinical outcomes are not apparent within that timeframe or that result in a long-term cost savings.",Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Risk adj.,Considerations relevant for particular patient populations,37,"Johnson & Johnson, Worldwide Government Affairs & Policy","The episode should reflect the complexity of care needed to treat this patient population, who typically has multiple co-morbidities. The episode needs to take into account the heterogeneity of this patient population with regard to presentation of the disease and response to treatment.","The episode should reflect the complexity of care needed to treat this patient population, who typically has multiple co-morbidities. The episode needs to take into account the heterogeneity of this patient population with regard to presentation of the disease and response to treatment.",Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Defining an EG,Addition of trigger codes,18,Medtronic,"AV node ablation (CPT 93650) is listed as a relevant service. The services represented by this code mandates that a pacemaker be placed, but pacemaker implant is not listed. Is this because pacemaker implant is a separate episode group? (analogous to PCI in IHD)","AV node ablation (CPT 93650) is listed as a relevant service. The services represented by this code mandates that a pacemaker be placed, but pacemaker implant is not listed.",Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Defining an EG,Addition of trigger codes,18,Medtronic,"Regarding the trigger codes for the episode, the current ICD-9-CM codes (427.31, 427.32) do not allow a determination whether the AF is chronic. This determination will be facilitated on the transition to ICD-10 codes (I48.2 represents chronic AF). However, this will limit the amount of historical data that will be available for cost characterization, as using the unmodified ICD-9-CM codes would be inappropriate.","The current ICD-9-CM codes (427.31, 427.32) do not allow a determination whether the AF is chronic. While this  determination will be facilitated on the transition to ICD-10 codes (I48.2 represents chronic AF). However, this will limit the amount of historical data that will be available for cost characterization, as using the unmodified ICD-9-CM codes would be inappropriate.",Chronic Condition
2016_12_macra_posting,,Atrial Fibrillation,Atrial Fibrillation,Chronic Disease Management,Defining an EG,Additional clinical input needed,10,Heart Rhythm Society,"Clinical Subcommittees should have a role in determining episode group definitions. Atrial Fibrillation (AF) is an excellent example of the need for clinical discussion. Defining AFib as an episode will involve a variety of healthcare providers. AF can be broken down into sub-categories based on the type of AF. AF also can be addressed as an episode based on medication management, or procedural management such as transcatheter ablation. The Cardiovascular Clinical Subcommittee’s discussions should be driving factors in how AFib is addressed.",Clinical subcommittees should have a role in determining episode group definitions.  It can be broken into different subcategories based on type of AF. The Cardiovascular Clinical Subcommittee’s discussions should be driving factors in how AFib is addressed.,Chronic Condition
2016_12_macra_posting,,Atrial Fibrillation,Atrial Fibrillation,Chronic Disease Management,Attributing the EG,Considerations relevant for particular types of clinicians and clinical decision-making,25,American Academy of Otolaryngology - Head and Neck Surgery,"We seek clarification from CMS on how it intends to score specialists such as Otolaryngologist Head and Neck Surgeons that either have a dearth of episodes, or entire lack of applicable episode groups. There are, however, several episode groups that Otolaryngologist -- Head and Neck Surgeons may indirectly treat by addressing specific components of the treatment, including Asthma/ Chronic Obstructive Pulmonary Disease (COPD), Atrial Fibrillation, Rheumatoid Arthritis, and Lower Extremity Deep Vein Thrombosis (DVT) requiring anticoagulation. As currently constructed, it is not clear to Otolaryngologist Head and Neck Surgeons that they may be scored on components of these and other episodes they may encounter.",It is unclear how head and neck surgeons may be scored on components of this episode group.,Chronic Condition
2016_04_supplemental_egs,A,"Atrial Fibrillation (Afib)/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Assigning Costs to the EG,Addition of assigned services,4,American College of Radiology,"Included services (CPT codes) appropriate (relevant services tab)
Add cardiac MRI
Add coronary CTA",Cardiac MRI and coronary CTA should be added as assigned services to the Atrial Fibrillation (Afib)/Flutter episode group.,Chronic Condition
2016_04_supplemental_egs,A,"Atrial Fibrillation (Afib)/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Defining an EG,Addition of trigger codes,37,"Johnson & Johnson, Worldwide Government Affairs & Policy","A comprehensive review of the CPT codes for the episode condition should be undertaken as the current list is incomplete and several of the codes listed are obsolete. For example, CPT Code 93613 for 3-dimensional cardiac mapping is not included and the code listed for heart rhythm ablation (93651) was retired effective 12/31/2012. The current atrial fibrillation-specific codes (93653 and 93656) should be used in its place.","A comprehensive review of the CPT codes for the Atrial Fibrillation (Afib)/Flutter episode group should be undertaken as the current list is incomplete and several of the codes listed are obsolete. For example, CPT Code 93613 for 3-dimensional cardiac mapping is not included and the code listed for heart rhythm ablation (93651) was retired effective 12/31/2012. The current atrial fibrillation-specific codes (93653 and 93656) should be used in its place.",Chronic Condition
2016_04_supplemental_egs,A,"Atrial Fibrillation (Afib)/Flutter, Chronic",Atrial Fibrillation,Chronic Disease Management,Defining an EG,"Splitting episode groups (e.g., sub-groups)",37,"Johnson & Johnson, Worldwide Government Affairs & Policy","The establishment of episode groups that are narrower in scope and defined by a specific treatment (e.g., implantation of a rhythm management device) to increase the likelihood that the items and services included in the group will more accurately reflect the standard of care for an individual patient as opposed to that of a broad clinical group where the resources used will likely only represent the “average” AF patient with the condition.","The establishment of Atrial Fibrillation episode groups that are narrower in scope and defined by a specific treatment (e.g., implantation of a rhythm management device) will increase the likelihood that the services included in the episode group will more accurately reflect the standard of care for an individual patient. The creation of a broad episode group will capture many assigned services and resources and will likely only represent the “average” AF patient.",Chronic Condition
2016_12_macra_posting,,Benign Prostatic Hyperplasia,Benign Prostatic Hyperplasia,Chronic Disease Management,Assigning Costs to the EG,Addition of assigned services,37,American Urological Association,HCPCS codes 9739 and C9740 are for treatment of benign prostatic hyperplasia (BPH) and should be cross-walked to the section for Procedure for Benign Prostatic Hyperplasia (658-668) to ensure accurate ambulatory patient classification (APC) resource use.,HCPCS codes 9739 and C9740 are for the treatment of benign prostatic hyperplasia (BPH) and should be included in the Benign Prostatic Hyperplasia episode group to ensure accurate ambulatory patient classification (APC) resource use.,Chronic Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Acute",Cardiac Arrhythmia & Conduction Disorders,Cardiovascular Disease Management,Risk adj.,Considerations relevant for particular patient populations,37,"Johnson & Johnson, Worldwide Government Affairs & Policy","The episode should reflect the complexity of care needed to treat this patient population, who typically has multiple co-morbidities. The episode needs to take into account the heterogeneity of this patient population with regard to presentation of the disease and response to treatment.","The episode should reflect the complexity of care needed to treat this patient population, who typically has multiple co-morbidities. The episode needs to take into account the heterogeneity of this patient population with regard to presentation of the disease and response to treatment.",Acute Inpatient Medical Condition
2015_10_cms_episode_groups,A,"Afib/Flutter, Acute",Cardiac Arrhythmia & Conduction Disorders,Cardiovascular Disease Management,Risk adj.,Considerations relevant for particular patient populations,37,"Johnson & Johnson, Worldwide Government Affairs & Policy",The patient population should be risk-adjusted to ensure that the comparisons made between outcomes and costs from one provider to another are appropriate.,The patient population for this episode group should be risk-adjusted to ensure that the comparisons made between outcomes and costs from one clinician to another are appropriate.,Acute Inpatient Medical Condition
